DataSet,NodeCount,GoalCount,GraphDensity,UserModel(lambda),Distance,ProbSelectUnknown,ProbReturnFirst,ProbSelectVisibleGoal,OperationCount
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,18
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,67
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,112
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,15
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,31
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,41
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,48
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,50
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,51
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,26
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,12
WattsStrogatz,200,5,0.02010,-2.6,2.6,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,41
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,105
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,50
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,61
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,26
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,16
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,204
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,63
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,20
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,95
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,8
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,9
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,4.8,0.8,0,0,78
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,35
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,10
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,14
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,59
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,37
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,86
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,15
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,49
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,15
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,32
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,2
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,41
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,33
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,14
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,51
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,14
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,30
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,7
WattsStrogatz,200,5,0.02010,-2.6,5,0.8,0,0,33
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,13
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,2
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,21
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,23
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,34
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,19
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,41
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,10
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,32
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,38
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,13
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,60
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,75
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,71
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,41
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,42
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,73
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,55
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,51
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,41
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,57
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,52
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,201
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,78
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,24
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,33
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,32
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,12
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,8
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,62
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,46
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,69
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,12
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,29
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,81
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,30
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,26
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4.8,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,85
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,14
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,18
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,11
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,37
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,44
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,14
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,61
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,76
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,64
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,10
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,103
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,98
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,24
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,6
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,59
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,6
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,32
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,19
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,44
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,27
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,56
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,10
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,38
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,17
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,64
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,38
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,48
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,23
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,14
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,19
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,47
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,25
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,11
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,2.6,0.8,0,0,63
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,61
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,20
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,29
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,43
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,19
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,18
WattsStrogatz,200,5,0.02010,-2.6,2.6,0.8,0,0,9
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,27
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,97
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,99
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,125
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,24
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,7
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,6
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,15
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,23
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,38
WattsStrogatz,200,5,0.02010,-2.6,2.8,0.8,0,0,14
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,6
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,98
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,67
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,2.6,0.8,0,0,7
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,43
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,29
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,87
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,28
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,131
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,27
WattsStrogatz,200,5,0.02010,-2.6,2.4,0.8,0,0,19
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,38
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,45
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,34
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,50
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,8
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,35
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,13
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,108
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,43
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,45
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,69
WattsStrogatz,200,5,0.02010,-2.6,4.8,0.8,0,0,28
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,54
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,78
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,34
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,77
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,2
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,75
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,22
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,49
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,15
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,26
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,33
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,57
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,26
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,47
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,25
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,139
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,36
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,2
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,9
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,47
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,74
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,50
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,2.8,0.8,0,0,17
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,6
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4.8,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,21
WattsStrogatz,200,5,0.02010,-2.6,4.8,0.8,0,0,41
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,27
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,83
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,6
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,19
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,22
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,87
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,30
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,26
WattsStrogatz,200,5,0.02010,-2.6,4.8,0.8,0,0,20
WattsStrogatz,200,5,0.02010,-2.6,2.8,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,26
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,19
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,15
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,116
WattsStrogatz,200,5,0.02010,-2.6,2,0.8,0,0,79
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,43
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,34
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,42
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,71
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,7
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,9
WattsStrogatz,200,5,0.02010,-2.6,4.8,0.8,0,0,20
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,117
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,11
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,230
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,89
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,35
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,41
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,19
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,6
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,33
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,35
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,2
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,6
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,150
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,43
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,9
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,2
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,16
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,18
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,84
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,37
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,95
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,7
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,39
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,43
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,39
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,38
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,63
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,21
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,65
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,30
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,2
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,51
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,24
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,32
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,63
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,2
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,36
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,16
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,86
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,23
WattsStrogatz,200,5,0.02010,-2.6,2.4,0.8,0,0,9
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,85
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,56
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,53
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,137
WattsStrogatz,200,5,0.02010,-2.6,5,0.8,0,0,6
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,83
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,32
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,18
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,36
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,27
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,50
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,39
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,18
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,32
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,10
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,13
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,22
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,23
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,57
WattsStrogatz,200,5,0.02010,-2.6,3.4,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,4.8,0.8,0,0,20
WattsStrogatz,200,5,0.02010,-2.6,5,0.8,0,0,61
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,7
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,17
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,96
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,98
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,34
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,34
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,58
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,24
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,8
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,10
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,9
WattsStrogatz,200,5,0.02010,-2.6,4.8,0.8,0,0,32
WattsStrogatz,200,5,0.02010,-2.6,2.8,0.8,0,0,64
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,48
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,12
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,22
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,75
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,36
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,6
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,5
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,24
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,3
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,36
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,101
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,7
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,51
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,22
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,27
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,35
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,9
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,4.6,0.8,0,0,36
WattsStrogatz,200,5,0.02010,-2.6,4.4,0.8,0,0,4
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,18
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,21
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,3,0.8,0,0,1
WattsStrogatz,200,5,0.02010,-2.6,4.2,0.8,0,0,20
WattsStrogatz,200,5,0.02010,-2.6,3.2,0.8,0,0,18
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,10
WattsStrogatz,200,5,0.02010,-2.6,4,0.8,0,0,17
WattsStrogatz,200,5,0.02010,-2.6,3.6,0.8,0,0,24
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,2
WattsStrogatz,200,5,0.02010,-2.6,3.8,0.8,0,0,72
